species_code,English name
rcqdov1,Russet-crowned Quail-Dove
wepdov1,West Peruvian Dove
whwdov,White-winged Dove
zendov,Zenaida Dove
galdov1,Galapagos Dove
eardov1,Eared Dove
moudov,Mourning Dove
socdov1,Socorro Dove
nicpig1,Nicobar Pigeon
spgpig1,Spotted Green Pigeon
dodo1,Dodo
rodsol2,Rodrigues Solitaire
sugdov1,Sulawesi Ground Dove
cigdov2,Cinnamon Ground Dove
mibhea2,Mindoro Bleeding-heart
nebhea1,Negros Bleeding-heart
subhea1,Sulu Bleeding-heart
lubhea1,Luzon Bleeding-heart
minblh1,Mindanao Bleeding-heart
chopig1,Choiseul Pigeon
tbgpig2,Thick-billed Ground-Pigeon
phepig1,Pheasant Pigeon
wecpig1,Western Crowned-Pigeon
soucrp1,Sclater's Crowned-Pigeon
soucrp2,Scheepmaker's Crowned-Pigeon
vicpig1,Victoria Crowned-Pigeon
tobpig1,Tooth-billed Pigeon
whedov1,White-eared Brown-Dove
amedov1,Amethyst Brown-Dove
daedov2,Mindanao Brown-Dove
daedov3,Tawitawi Brown-Dove
ligpig1,Little Green-Pigeon
pinpig3,Pink-necked Green-Pigeon
cihpig1,Cinnamon-headed Green-Pigeon
orbpig1,Orange-breasted Green-Pigeon
pogpig1,Sri Lanka Green-Pigeon
pomgrp2,Gray-fronted Green-Pigeon
pomgrp4,Andaman Green-Pigeon
pomgrp5,Ashy-headed Green-Pigeon
pomgrp1,Philippine Green-Pigeon
pomgrp3,Buru Green-Pigeon
thbpig1,Thick-billed Green-Pigeon
gycpig1,Gray-cheeked Green-Pigeon
sugpig2,Sumba Green-Pigeon
flgpig1,Flores Green-Pigeon
timgrp1,Timor Green-Pigeon
lagpig1,Large Green-Pigeon
yefpig1,Yellow-footed Green-Pigeon
brgpig1,Bruce's Green-Pigeon
madgrp2,Comoro Green-Pigeon
madgrp1,Madagascar Green-Pigeon
pegpig1,Pemba Green-Pigeon
stgpig1,Sao Tome Green-Pigeon
yevpig1,Yellow-vented Green-Pigeon
pitpig1,Pin-tailed Green-Pigeon
afrgrp1,African Green-Pigeon
gnspig1,Sumatran Green-Pigeon
wetpig1,Wedge-tailed Green-Pigeon
whbpig1,White-bellied Green-Pigeon
whgpig1,Whistling Green-Pigeon
bbfdov1,Black-backed Fruit-Dove
